"ISO3","Year","Region","country","LandArea","ArablePercent","Population","PopGrowth","RuralPopulation","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","LifeExpectancy","AgeDepRatioOld","CO2Emissions","GDP","GDPPerCapita","GDPPerCapGrowth","Inflation","TotalTrade","Exports","Imports","FDIIn","AgriEmployment","MobileCellSubscriptions","NaturalResourceRents","GovtExpenditures","PublicHealthExpend","PoliticalStability","RuleOfLaw","ControlOfCorruption","IncomeLevel","RuralLevel","UrbanLevel","PopGrowthLevel","EconGrowthLevel","TradeLevel","AgricultureLevel"
"CAN",2019,"North America","Canada",8965590,4.31070347852177,37618495,1.46171259938134,18.2636327952059,81.7363672047941,9.9,1.47,6,82.1585365853659,26.3697715591015,16.190860373335,1696606794629.52,45100.336805859,0.429657594374362,1.94926902411593,66.1713422730605,32.3526259007732,33.8187163722873,2.80676080429286,1.53796177745857,90.9589210049458,1.93317583033348,20.6634514308635,7.68264532,81.3392569,85.917657,84.1986505,"High income","Low","High","High","Low","Low","Low"
"CHE",2019,"Europe & Central Asia","Switzerland",39509.63,10.0935999653755,8575280,0.713313668444329,19.2207092677771,80.7792907322229,10,1.48,6,83.9048780487805,27.9908017758454,4.47745146514166,762620333380.6,88932.4119306425,0.396618811151228,0.362886179940674,123.022509832864,66.1484505764437,56.8740592564204,3.03579308743079,2.53795004633741,126.920635838501,0.0091832516564973,11.5905424800121,3.82881737,86.3945634,89.9081065,94.4299892,"High income","Low","High","Low","Low","High","Low"
"CHI",2019,"Europe & Central Asia","Channel Islands",198,NA,165639,0.417438625700863,67.1764588973124,32.8235411026876,8.3,1.35,NA,81.2,28.0216279196781,NA,10699371928.6621,64594.5213908684,1.15023329351136,NA,NA,NA,NA,NA,2.39994009509903,NA,NA,NA,NA,NA,NA,NA,"High income","High","Low","Low","Low",NA,"Low"
"CHL",2019,"Latin America & Caribbean","Chile",742831.64,1.88363799366435,19197744,1.59911795256016,11.8726314376462,88.1273685623538,10.94,1.43,6,80.324,17.8713690943583,4.96139546396702,261702273348.86,13631.9284885172,-0.952396500724504,2.55754475703327,57.6069157856537,27.8723266080413,29.7345891776124,4.87915172452024,7.03079649547351,130.492770400522,2.56889266052365,15.2526740979491,4.77255917,68.7252227,72.6995012,71.2750258,"High income","Low","High","High","Low","Low","Low"
"CHN",2019,"East Asia & Pacific","China",9388210,11.6042142218804,1407745000,0.354740890170827,37.2900848388672,62.7099151611328,10.41,1.496,6,77.94,17.2944746246392,8.39147587098516,14579018970009.3,10356.2924890582,5.69178029552671,2.89923416358227,35.4544350281407,18.1398222864053,17.3146127417354,1.28549226847992,24.7219896643701,122.670391850252,1.26691367576973,17.1510123948127,2.94739079,63.5270765,47.4720196,46.8505275,"Upper middle income","Low","High","Low","High","Low","High"
"CIV",2019,"Sub-Saharan Africa","Cote d'Ivoire",318000,13.6467194968553,28193009,2.61916841176218,48.6485200228759,51.3514799771241,34.306,4.523,6,60.274,4.50689015643299,0.467605284700189,59010785540.9857,2093.09994335779,3.96244737490909,0.790855512053661,44.6604105830795,22.6604887650452,21.9999218180343,1.40583048179048,45.944939092442,132.574011521792,2.95827158248838,10.8276425991993,0.96328849,48.5828489,46.6400181,37.1247819,"Lower middle income","High","Low","High","High","Low","High"
"CMR",2019,"Sub-Saharan Africa","Cameroon",472710,13.1158638488714,25506095,2.78164441246944,46.0512085880669,53.9487914119331,36.183,4.651,6,61.695,5.11143453570557,0.402691984014017,37502066832.7403,1470.31785276187,0.636415290549962,2.45280214062732,43.3785132480415,19.8500907473186,23.528422500723,2.58340602489154,43.045070011853,83.9044001051513,5.55584424286198,12.0963512548066,0.40687224,38.2687805,36.4970071,24.9071192,"Lower middle income","High","Low","High","Low","Low","High"
"COD",2019,"Sub-Saharan Africa","Congo, Dem. Rep.",2267050,6.0342736154915,92947442,3.1695285579572,57.1252909092524,42.8747090907476,42.549,6.253,6,60.242,6.07374115917291,0.0478324083410493,44849398935.1374,482.524295129472,-2.58176822938702,NA,60.9143523742792,28.4657291929772,32.448623181302,2.88391132652101,59.3584094811143,39.9399996397964,12.7500585788424,18.1548551592585,0.55490303,37.7644428,28.5802161,16.3382056,"Low income","High","Low","High","Low","Low","High"
"COG",2019,"Sub-Saharan Africa","Congo, Rep.",341500,1.61054172767204,5616661,2.40634419722279,36.4823623876615,63.5176376123385,32.183,4.38,6,63.152,4.92993867502267,1.28891524697681,10590275024.738,1885.51080877731,-1.27988440285151,2.20607305781525,91.5757547930374,56.1988143702835,35.3769404227539,-10.214754646531,36.206791116104,91.0654212529473,39.2430391553175,13.2408750888074,1.02925241,55.7072394,35.9262313,17.5994637,"Lower middle income","Low","High","High","Low","High","High"
"COL",2019,"Latin America & Caribbean","Colombia",1109500,2.0873510590356,49907985,1.78615507724394,22.5404471481623,77.4595528518377,14.218,1.71,6,76.793,11.7530250139278,1.72438739011403,321405606655.842,6439.96359812647,1.36014067984289,3.52301932741447,37.558533980839,15.8680386541241,21.6904953267149,4.33058240931506,15.1829622104953,132.810761644655,4.30433092902696,15.7732334152149,5.47731161,50.4304751,49.1724423,42.3435637,"Upper middle income","Low","High","High","Low","Low","Low"
